UserId,ProjectName,changePerBlock_mean,changePerBlock_sd, changePerBlock_max, changePerBlock_min, changePerBlock_range, changePerBlock_skewness, changeInterval_mean, changeInterval_sd, changeInterval_max, changeInterval_min, changeInterval_range, changeInterval_skewness, blockInterval_mean, blockInterval_sd, blockInterval_max, blockInterval_min, blockInterval_range, blockInterval_skewness, changePerInterval_mean, changePerInterval_sd, changePerInterval_max, changePerInterval_min, changePerInterval_range, changePerInterval_skewness 
1,0,31.75,35.58514622112641,165.0,1.0,164.0,2.9631873043638994,1.0506329113924051,0.2206478908203436,2.0,1.0,1.0,4.178956429856377,1.0506329113924051, 0.2206478908203436,2.0,1.0,1.0,4.178956429856377,74.5,14.322808982279179,105.0,57.0,48.0,1.4362427556019162 
1,1,152.22727272727272,389.1170630344919,1841.0,1.0,1840.0,4.277842232219225,1.0324675324675323,0.17781650117268744,2.0,1.0,1.0,5.3277868746983685,1.0324675324675323, 0.17781650117268744,2.0,1.0,1.0,5.3277868746983685,208.6875,103.69488495903097,395.0,53.0,342.0,0.03873264661126071 
1,3,97.31578947368422,338.3078894589593,1493.0,1.0,1492.0,4.344798337754476,1.005181347150259,0.07198157507486949,2.0,1.0,1.0,13.892443989449768,1.005181347150259, 0.07198157507486949,2.0,1.0,1.0,13.892443989449768,95.05263157894737,22.47090386406021,143.0,49.0,94.0,0.004005183891742566 
1,4,20.82608695652174,19.39224815583664,68.0,1.0,67.0,1.2436381573993032,1.125,0.3360107525161235,2.0,1.0,1.0,2.380876189257104,1.125, 0.3360107525161235,2.0,1.0,1.0,2.380876189257104,119.0,49.27473997901968,171.0,73.0,98.0,0.5398236606024522 
2,0,15.578947368421051,21.90716724289535,97.0,1.0,96.0,3.132560244952856,1.0476190476190477,0.2155402687045211,2.0,1.0,1.0,4.40752906967158,1.0476190476190477, 0.2155402687045211,2.0,1.0,1.0,4.40752906967158,65.0,17.165857586111645,90.0,52.0,38.0,1.6701573524129831 
2,4,34.04166666666667,35.709551963715185,129.0,1.0,128.0,1.5026711518323095,1.02,0.14142135623730942,2.0,1.0,1.0,7.071067811865486,1.02, 0.14142135623730942,2.0,1.0,1.0,7.071067811865486,153.8,22.140460699813815,180.0,120.0,60.0,-0.7385066379002677 
3,0,59.35,58.21220255509828,269.0,1.0,268.0,2.6366417468235404,1.2574257425742572,0.5581323751492512,4.0,1.0,3.0,2.606840445238078,1.2574257425742572, 0.5581323751492512,4.0,1.0,3.0,2.606840445238078,46.6,15.70827807240501,80.0,16.0,64.0,0.24881263963781175 
3,1,801.8636363636364,2000.8733163642642,9424.0,1.0,9423.0,4.186633087366071,1.0203125,0.15185827292173873,3.0,1.0,2.0,8.112255413369953,1.0203125, 0.15185827292173873,3.0,1.0,2.0,8.112255413369953,268.3846153846154,141.1254641608501,483.0,40.0,443.0,-0.14668504503990745 
3,2,8640.137254901962,23453.345748544798,118877.0,1.0,118876.0,3.784341731582064,1.0048060418812221,0.06917070432711961,2.0,1.0,1.0,14.327862800135392,1.0048060418812221, 0.06917070432711961,2.0,1.0,1.0,14.327862800135392,1502.0924657534244,540.1591419546635,3052.0,60.0,2992.0,-0.7568251849639139 
3,3,530.0526315789473,1725.3574339405159,7641.0,1.0,7640.0,4.3305913937156415,1.022038567493113,0.14691016687481795,2.0,1.0,1.0,6.524827765857468,1.022038567493113, 0.14691016687481795,2.0,1.0,1.0,6.524827765857468,135.1216216216216,56.261121324381605,266.0,43.0,223.0,0.27700466801486795 
3,4,166.45833333333331,185.09597490906236,745.0,1.0,744.0,2.0421543696228905,1.047222222222222,0.24865780214757724,3.0,1.0,2.0,5.796750333886608,1.047222222222222, 0.24865780214757724,3.0,1.0,2.0,5.796750333886608,105.8108108108108,36.954805609793944,199.0,39.0,160.0,0.12977160279504127 
4,0,240.1,294.6676807952701,1345.0,1.0,1344.0,3.0182157883803113,1.0914285714285714,0.33728662627813366,4.0,1.0,3.0,4.555680413492779,1.0914285714285714, 0.33728662627813366,4.0,1.0,3.0,4.555680413492779,83.24561403508773,32.88414766904867,152.0,36.0,116.0,0.4142728354934124 
4,1,1470.7272727272727,3953.1918771185415,18690.0,1.0,18689.0,4.3241356313315835,1.064711830131446,0.3082181434618926,5.0,1.0,4.0,6.14854310459272,1.064711830131446, 0.3082181434618926,5.0,1.0,4.0,6.14854310459272,305.9428571428572,82.40843736809082,534.0,94.0,440.0,0.3443160150675927 
4,2,13299.784313725491,35657.02828521397,182237.0,1.0,182236.0,3.6946119267732067,1.017650158061117,0.13169357915437438,2.0,1.0,1.0,7.329197290471556,1.017650158061117, 0.13169357915437438,2.0,1.0,1.0,7.329197290471556,1754.8652849740931,661.3259741930497,3146.0,94.0,3052.0,-0.6033952693199307 
4,3,545.8947368421053,1831.2787243021942,8096.0,1.0,8095.0,4.335579973834794,1.022857142857143,0.14953343588376705,2.0,1.0,1.0,6.396375032784431,1.022857142857143, 0.14953343588376705,2.0,1.0,1.0,6.396375032784431,115.37078651685394,51.986969963302066,209.0,26.0,183.0,0.029032147827318566 
4,4,82.625,83.08916766106576,344.0,1.0,343.0,2.0245542707061523,1.036697247706422,0.18888589072394174,2.0,1.0,1.0,4.997330557762082,1.036697247706422, 0.18888589072394174,2.0,1.0,1.0,4.997330557762082,175.1818181818182,39.55456530368696,265.0,133.0,132.0,1.2678116314596275 
