"","evidence_variable","mean","standard_deviation"
"1","looks","2.161","1.1447224071317"
"2","sound","0.975","0.933405724348338"
"3","motion","1.135","1.17990133789532"
"4","variables","1.284","0.515373272114115"
"5","seq_looping","1.891","0.981877325882965"
"6","boolean_exp","0.782","1.13391435380357"
"7","operators","0.349","0.675021966053442"
"8","conditional","0.565","0.916850923332477"
"9","coordination","1.069","0.971175670093821"
"10","ui_event","1.383","0.687592745586938"
"11","parallelization","0.646","0.478448443317473"
"12","initialize_location","0.048","0.213873190797121"
"13","initialize_looks","0.737","0.440482718191106"
